name,marktwert,source,team
Andrea Barzagli,2,http://www.transfermarkt.com/italy/startseite/verein/3376,Italien
James Collins,2,http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Hal Robson-Kanu,2,http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Florian Klein,2,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Lukas Hinterseer,2,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Bogdan Butko,2,http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Wesley Hoolahan,2,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Patrik Hrosovsky,2,http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Michal Duris,2,http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Tomás Sivok,2,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Adrian Popa,2,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Alexandru Chipciu,2,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Ledian Memushaj,2,http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Bekim Balaj,2,http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Johann Berg Gudmundsson,2,http://www.transfermarkt.com/iceland/startseite/verein/3574,Island
Oliver Norwood,2,http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Kyle Lafferty,2,http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Conor Washington,2,http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Bruno Alves,"2,2",http://www.transfermarkt.com/portugal/startseite/verein/3300,Portugal
Bartosz Salamon,"2,2",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Valerica Gaman,"2,2",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Laurent Ciman,"2,5",http://www.transfermarkt.com/belgium/startseite/verein/3382,Belgien
Bartosz Kapustka,"2,5",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Harun Tekin,"2,5",http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Valon Behrami,"2,5",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Chris Gunter,"2,5",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Denys Boyko,"2,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Mykyta Shevchenko,"2,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Artem Fedetsky,"2,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Oleksandr Karavaev,"2,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Pylyp Budkivsky,"2,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
David Meyler,"2,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Victor Lindelöf,"2,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Sebastian Larsson,"2,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Peter Pekarík,"2,5",http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Silviu Lung Jr.,"2,5",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Denis Alibec,"2,5",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Florin Andone,"2,5",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Amir Abrashi,"2,5",http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Birkir Bjarnason,"2,5",http://www.transfermarkt.com/iceland/startseite/verein/3574,Island
Ádám Szalai,"2,5",http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
Artur Jedrzejczyk,"2,7",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Theodor Gebre Selassie,"2,75",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Shkelzen Gashi,"2,75",http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Vladimír Weiss,"2,8",http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Sokol Cikalleshi,"2,8",http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Iker Casillas,3,http://www.transfermarkt.com/spain/startseite/verein/3375,Spanien
Aritz Aduriz,3,http://www.transfermarkt.com/spain/startseite/verein/3375,Spanien
Tom Heaton,3,http://www.transfermarkt.com/england/startseite/verein/3299,England
Jordan Lukaku,3,http://www.transfermarkt.com/belgium/startseite/verein/3382,Belgien
Lovre Kalinic,3,http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Duje Cop,3,http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Thiago Motta,3,http://www.transfermarkt.com/italy/startseite/verein/3376,Italien
Gelson Fernandes,3,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Fabian Frei,3,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Vasili Berezutski,3,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Roman Shishkin,3,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Aleksandr Golovin,3,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Evgen Seleznev,3,http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Glenn Whelan,3,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
James McClean,3,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Ludwig Augustinsson,3,http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Róbert Mak,3,http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Borek Dockal,3,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Ergys Kace,3,http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Aron Gunnarsson,3,http://www.transfermarkt.com/iceland/startseite/verein/3574,Island
Emil Hallfredsson,3,http://www.transfermarkt.com/iceland/startseite/verein/3574,Island
Kolbeinn Sigthórsson,3,http://www.transfermarkt.com/iceland/startseite/verein/3574,Island
Karol Linetty,"3,2",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Ondrej Duda,"3,2",http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Erkan Zengin,"3,3",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Johan Djourou,"3,5",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Blerim Dzemaili,"3,5",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Wayne Hennessey,"3,5",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Andy King,"3,5",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Joe Ledley,"3,5",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Sam Vokes,"3,5",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Martin Harnik,"3,5",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Roman Zozulya,"3,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Jonathan Walters,"3,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Mikael Lustig,"3,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Pavel Kaderábek,"3,5",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Nicolae Stanciu,"3,5",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Alfred Finnbogason,"3,5",http://www.transfermarkt.com/iceland/startseite/verein/3574,Island
Nemanja Nikolics,"3,5",http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
Jimmy Durmaz,"3,75",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Thomas Vermaelen,4,http://www.transfermarkt.com/belgium/startseite/verein/3382,Belgien
Jason Denayer,4,http://www.transfermarkt.com/belgium/startseite/verein/3382,Belgien
Ricardo Quaresma,4,http://www.transfermarkt.com/portugal/startseite/verein/3300,Portugal
Darijo Srna,4,http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
