result,spieler,matchesplayed,minutesplayed,team,land,q,gebdat,pos,laenderspiele,laenderspieltore,quelle,tore,assists,attemptsontarget,attemptsofftarget,attemptsblocked,foulscommited,foulssuffered,yellowcards,passes,passescomplete
495,João Mário,1,22,Portugal,Portugal,q,33988,Mittelfeld,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250014109/index.html,,,0,0,0,1,1,0,4,4
497,Magnus Wolff Eikrem,1,22,Norway,Norwegen,nq,33093,Mittelfeld,14,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=108931/index.html,,,0,1,1,1,0,0,13,13
503,Billy McKay,2,23,Northern Ireland,Nordirland,q,32438,Angriff,11,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250003557/index.html,,,0,0,0,1,0,0,5,5
504,Yermek Kuantayev,1,23,Kazakhstan,Kasachstan,nq,33159,Verteidigung,1,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005221/index.html,,,0,0,0,1,0,1,10,10
507,Ingemar Teever,3,23,Estonia,Estland,nq,30371,Angriff,30,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=65950/index.html,,,0,2,0,1,1,0,4,3
511,Branimir Hrgota,1,24,Sweden,Schweden,q,33981,Angriff,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250041531/index.html,,,1,1,0,1,0,0,8,8
512,Jakob Jantscher,3,24,Austria,Österreich,q,32516,Mittelfeld,22,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=103356/index.html,,,1,0,0,1,1,0,18,18
515,Vitolo,1,25,Spain,Spanien,q,32814,Mittelfeld,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250062154/index.html,,,0,0,1,1,0,0,16,14
516,Dele Alli,2,25,England,England,q,35166,Mittelfeld,8,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250058217/index.html,,,1,0,1,1,0,0,22,17
532,Anton Putilo,3,28,Belarus,Belarus,nq,31951,Mittelfeld,50,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=74775/index.html,,,0,0,0,1,0,0,20,18
